,author,statement,source,date,target,BinaryTarget,BinaryNumTarget
46,Madison Czopek,"The death of Rep. Sheila Jackson Lee, D-Texas, six days after the Trump rally shooting was linked to her “oversight of the Secret Service.”",X posts,"July 24, 2024",REAL,REAL,1
47,Mia Penner,"As of July 23, 2024, “Trump has announced he won’t debate Kamala Harris.”",Threads posts,"July 24, 2024",REAL,REAL,1
48,Ranjan Jindal,Starbucks was an “official sponsor of the RNC.”,Facebook posts,"July 24, 2024",REAL,REAL,1
49,Marta Campabadal,"""Kamala Harris no es elegible para postularse para la presidencia. Ninguno de sus padres eran ciudadanos estadounidenses natos cuando ella nació"".",X posts,"• July 24,",pants-fire,REAL,1
50,Ciara O'Rourke,"“Michelle Obama’s mother dies, leaves inheritance to ‘my son Michael.’”",Viral image,"July 24, 2024",pants-fire,REAL,1
51,Samantha Putterman,Project 2025 calls for restricting “access to IVF and contraception.”,Kamala Harris,"July 24, 2024",barely-true,REAL,1
52,Maria Ramirez,"President Joe Biden appointed ""Kamala Harris to be his border czar to deal with illegal immigration … Harris was put in charge of stopping illegal immigration.""",Republican National Committee,"• July 24,",barely-true,REAL,1
53,Kwasi Gyamfi,Images show FBI assistant director Janeen DiGuiseppi seated behind former President Donald Trump during his assassination attempt.,Facebook posts,"• July 23,",FALSE,FAKE,0
54,Ciara O'Rourke,"Fox News aired a chyron that said, “Kamala could be the oldest elected female president.”",Viral image,"July 23, 2024",pants-fire,REAL,1
55,Loreben Tuquero,The absence of the presidential seal on President Joe Biden’s letter announcing his exit from the presidential race proves “this wasn’t Biden’s choice.”,X posts,"July 23, 2024",REAL,REAL,1
56,Ranjan Jindal,Photo shows Trump shooter Thomas Matthew Crooks was transgender.,Instagram posts,"July 23, 2024",REAL,REAL,1
57,Ranjan Jindal,There are nine states “where Biden’s name can’t be removed and no one can be added. That’s over 130 electoral votes in the toilet.”,Instagram posts,"July 23, 2024",REAL,REAL,1
58,Madison Czopek,“The state of Washington has already sent out their ballots” for the 2024 presidential election.,Instagram posts,"July 23, 2024",REAL,REAL,1
59,Mia Penner,"Former President Jimmy Carter “passed away Tuesday, July 23, at 01:34 am at his home in Plains, Georgia at the age of 99.”",X posts,"July 23, 2024",REAL,REAL,1
60,Louis Jacobson,Project 2025 would “end Head Start.”,Kamala Harris,"July 23, 2024",REAL,REAL,1
61,Ciara O'Rourke,"Says former President Donald Trump said, “It took my entire ear off. The whole ear.”",Viral image,"July 22, 2024",REAL,REAL,1
62,Sara Swann,"Kamala Harris “returned” a $5,000 donation Donald Trump made to her campaign in 2011.",Threads posts,"July 22, 2024",REAL,REAL,1
63,Jeff Cercone,Kamala Harris “is not eligible to hold the office of president” because her parents were non-citizens.,Instagram posts,"July 22, 2024",pants-fire,REAL,1
64,Loreben Tuquero,A July 21 video aired by PBS News shows President Joe Biden’s “first video address following dropping out of the presidential race.”,X posts,"July 22, 2024",pants-fire,REAL,1
65,Kwasi Gyamfi,Bill Gates is responsible for July 19 global tech outage.,X posts,"• July 19,",FALSE,FAKE,0
66,Mia Penner,"An executive of the gay dating app Grindr said the Republican National Convention is ""basically Grindr’s Super Bowl.'”",X posts,"July 19, 2024",FALSE,FAKE,0
67,Mia Penner,A photo shows a Secret Service sniper at the July 13 Trump rally wearing a red string bracelet tied to Kabbalah Judaism.,Facebook posts,"July 19, 2024",FALSE,FAKE,0
68,Madeline Heim,"After being shot at a Milwaukee rally in 1912, former President Teddy Roosevelt “finished his speech and he kept fighting.”",Donald Trump Jr.,"July 18, 2024",mostly-true,REAL,1
69,Amy Sherman,"""Unlike Mike Pence, (J.D.) Vance said he would have carried out Trump's plan to overturn the 2020 election.""",Kamala Harris,"July 18, 2024",mostly-true,REAL,1
70,Mia Penner,A photo shows proof of a bullet hole in Trump’s jacket.,Facebook posts,"July 17, 2024",FALSE,FAKE,0
71,Madeline Heim,"Milwaukee's Marcus Performing Arts Center – where 'The Daily Show' had been scheduled – “was originally located in the ‘soft perimeter,’ they called it, security-wise” but “was shifted, understandably so, to the ‘hard perimeter.’”",Jon Stewart,"July 17, 2024",FALSE,FAKE,0
72,Amy Sherman,"“Just last week, Ruben Gallego voted to let the millions of people who poured into our country illegally cast a ballot in this upcoming election.”",Kari Lake,"July 17, 2024",FALSE,FAKE,0
73,Kwasi Gyamfi,The Secret Service staged the July 13 shooting at Trump rally.,Threads posts,"• July 17,",pants-fire,REAL,1
74,Kwasi Gyamfi,Video shows Donald Trump sleeping at the Republican National Convention’s first night.,X posts,"• July 17,",FALSE,FAKE,0
75,Loreben Tuquero,"Photo shows that two days after former President Donald Trump’s attempted assassination, the top part of his ear “grew back.”",Threads posts,"July 16, 2024",pants-fire,REAL,1
76,Loreben Tuquero,The shooter who attempted to assassinate Donald Trump was “Maxwell Yearick.”,Instagram posts,"July 16, 2024",pants-fire,REAL,1
77,Sara Swann,Photos show former President Donald Trump golfing after being shot.,Social Media,"July 16, 2024",FALSE,FAKE,0
78,Mia Penner,Switzerland banned mammograms.,Instagram posts,"July 16, 2024",FALSE,FAKE,0
79,Ranjan Jindal,Trump campaign rally gunman Thomas Matthew Crooks was “arrested more than once.”,Threads posts,"July 16, 2024",FALSE,FAKE,0
80,Madison Czopek,"A Secret Service agent named Jonathan Willis said he “had the assassin in his sights for 3 minutes, but he was told not to engage by the head of the (Secret Service) unit.”",Instagram posts,"July 15, 2024",FALSE,FAKE,0
81,Loreben Tuquero,"Photo shows the Instagram account of shooter Thomas Matthew Crooks, with the bio, “In my quest to end Epsteins evil empire.”",Threads posts,"July 15, 2024",FALSE,FAKE,0
82,Ranjan Jindal,Video shows Trump gunman Thomas Matthew Crooks yelling “slash Republican throats”,X posts,"July 15, 2024",FALSE,FAKE,0
83,Sara Swann,"Photo shows Barron Trump on July 13, 2024, at Butler, Pennsylvania, rally.",Threads posts,"July 15, 2024",FALSE,FAKE,0
84,Grace Abels,Thomas Crooks “was a registered Democrat who voted for Clinton and Biden.”,Facebook posts,"July 15, 2024",pants-fire,REAL,1
85,Loreben Tuquero,Photo shows Secret Service agents smiling while escorting Donald Trump offstage after assassination attempt.,Threads posts,"July 15, 2024",pants-fire,REAL,1
86,Marta Campabadal,"Donald Trump escenificó el tiroteo en su mitin en Butler, Pensilvania.",X posts,"• July 15,",pants-fire,REAL,1
87,Louis Jacobson,“The idea that there’s political violence or violence in America like this is just unheard of.”,Joe Biden,"July 15, 2024",FALSE,FAKE,0
88,Maria Briceño,"Estas imágenes muestran a Thomas Matthew Crooks, el sospechoso del tiroteo en el mitin de Donald Trump.",Social Media,"July 15, 2024",pants-fire,REAL,1
89,Kwasi Gyamfi,A photo from viral social media posts shows Trump rally shooting suspect Thomas Matthew Crooks.,Social Media,"• July 14,",pants-fire,REAL,1
90,Samantha Putterman,"Donald Trump staged the shooting at his rally in Butler, Pennsylvania.",Social Media,"July 14, 2024",pants-fire,REAL,1
91,Maria Ramirez,"“El que disparo Donald Trump, Mark Violets ha sido asesinado.”",Instagram posts,"• July 14,",pants-fire,REAL,1
92,Maria Ramirez,“Butler Police confirm the shooter’s name is Mark Violets. He is a known Antifa extremist.”,Facebook posts,"• July 14,",pants-fire,REAL,1
93,Loreben Tuquero,"“Trump rally shooter has been identified as 32-year-old California resident, Hank Pecker.”",Threads posts,"July 14, 2024",pants-fire,REAL,1
94,D.L. Davis,"""The Trump administration handed out taxpayer dollars to a foreign company. Hundreds of homes and farms were bulldozed, and over $500 million in taxpayer dollars were wasted preparing for Foxconn.""",Joe Biden,"July 13, 2024",half-true,REAL,1
95,Jeff Cercone,"""Project 2025 eliminates OSHA and overtime wages.”",Threads posts,"July 12, 2024",REAL,REAL,1
96,Jacob Gardenswartz,"Lower insulin prices were the work of the Trump administration, not “Crooked Joe Biden. He had NOTHING to do with it.”",Donald Trump,"July 12, 2024",REAL,REAL,1
97,Loreben Tuquero,"BBC News published a graphic quoting President Joe Biden saying, “Let me say this as clearly and simply as I can: [inaudible].”",Social Media,"July 12, 2024",REAL,REAL,1
98,Kwasi Gyamfi,"“Anyone on Social Security or Disability should know, Project 2025 totally eliminates
all benefits.”",D.L. Hughley,"• July 12,",REAL,REAL,1
99,Loreben Tuquero,List shows settlements Donald Trump made to 10- to 13-year-old victims of child sex crimes.,Threads posts,"July 12, 2024",REAL,REAL,1
100,Ranjan Jindal,CNN producer “caught on hot mic” commenting on Maxine Waters’ “wig problem.”,Instagram posts,"July 12, 2024",REAL,REAL,1
101,Madison Czopek,"In 2020, “only nine NATO allies were spending 2%” of their GDP on defense. “This year, 23 will spend at least 2%.”",Joe Biden,"July 12, 2024",mostly-true,REAL,1
102,Maria Ramirez,"“(Homeland Security Secretary Alejandro) Mayorkas said, ‘Hey you don’t have to detain aggravated felons,’ those are rapists, child predators, you know, murderers.”",Michael McCaul,"• July 11,",barely-true,REAL,1
103,Grace Abels,LGBTQ+ leaders sign World Economic Forum treaty to “Accept Pedophiles as 'Legally Protected Minority’”,X posts,"July 11, 2024",pants-fire,REAL,1
104,Mia Penner,Official Navy photographs show an unidentified flying object in the Arctic Ocean in 1971.,Facebook posts,"July 11, 2024",FALSE,FAKE,0
105,Loreben Tuquero,“Every single McDonald’s french fry comes exclusively from potatoes grown on Bill Gates-owned farmland.”,Facebook posts,"July 11, 2024",FALSE,FAKE,0
106,Samantha Putterman,"Black women in the U.S. are “three to four times more likely to die in connection with childbirth than other women.""",Kamala Harris,"July 11, 2024",TRUE,REAL,1
107,Hope Karnopp,“Deadlines have passed in … Wisconsin” to replace President Joe Biden on the ballot.,X posts,"July 11, 2024",FALSE,FAKE,0
108,Louis Jacobson,"Kamala Harris ""co-sponsored, fully sponsored"" the Green New Deal.",Byron Donalds,"July 10, 2024",TRUE,REAL,1
109,Jeff Cercone,"""Miami Dolphins QB Tua Tagovailoa” had a “front-row seat” reserved at Donald Trump’s Miami rally.",TikTok posts,"July 10, 2024",FALSE,FAKE,0
110,Ciara O'Rourke,Video shows Elon Musk saying Oreos are “satanic.”,Viral image,"July 10, 2024",pants-fire,REAL,1
111,Matt Volz,"“Elective abortions up to and including the moment of birth. Healthy, 9-month-year-old baby killed at the moment of birth. That’s what Jon Tester and the Democrats have voted for.”",Tim Sheehy,"July 10, 2024",REAL,REAL,1
112,Grace Abels,"Video shows “huge green coloured meteor” on July 7, 2024, in Budapest, Hungary.",Threads posts,"July 9, 2024",REAL,REAL,1
113,Madison Czopek,CNN reported July 3 that “Joe has decided to drop out of the 2024 Presidential race and will be replaced by Hunter Biden.”,Threads posts,"July 9, 2024",REAL,REAL,1
114,Kwasi Gyamfi,“The New York Times has closed its main Threads account.”,Threads posts,"• July 9,",REAL,REAL,1
115,Ciara O'Rourke,“Officially; Lia Thomas has lost every title.”,Viral image,"July 9, 2024",REAL,REAL,1
116,Madison Czopek,Video shows tornado caused by Hurricane Beryl in July 2024.,Facebook posts,"July 9, 2024",REAL,REAL,1
117,Maria Briceño,"La compañía Fisher-Price creó un juguete ""Ouija para niños”.",Facebook posts,"July 9, 2024",REAL,REAL,1
118,Ciara O'Rourke,"Video shows “Florida beach tornado” July 7, 2024",Viral image,"July 8, 2024",REAL,REAL,1
119,Loreben Tuquero,Photo shows Mount Etna erupting in Sicily in July 2024.,Facebook posts,"July 8, 2024",REAL,REAL,1
120,Ranjan Jindal,President Joe Biden had a “medical emergency on Air Force One” on July 5.,Instagram posts,"July 8, 2024",REAL,REAL,1
121,Ciara O'Rourke,The Associated Press reported “prosecutors are reconsidering bringing charges against former President Donald J. Trump on child rape and molestation charges.”,Threads posts,"July 8, 2024",REAL,REAL,1
122,Jeff Cercone,Project 2025 mandates women carry “period passports” to “track their menstrual cycles” and “monitor pregnancies.”,Threads posts,"July 8, 2024",REAL,REAL,1
123,Ciara O'Rourke,“Roundabouts are causing tornadoes.”,Viral image,"July 5, 2024",REAL,REAL,1
124,Ciara O'Rourke,"A McDonald’s billboard said, “Hey crypto bro’s we are hiring.”",Viral image,"July 5, 2024",REAL,REAL,1
125,Ciara O'Rourke,"“In official capacity, Biden orders DOJ to arrest 6 justices of SCOTUS.”",Viral image,"July 5, 2024",pants-fire,REAL,1
126,Maria Briceño,"La comunidad de hispanos se puede beneficiar de una ""Nueva ley de prosperidad nacional elimina hasta 47,000 en deudas de tarjetas de crédito"".",Facebook posts,"July 5, 2024",FALSE,FAKE,0
127,Ciara O'Rourke,"Photo shows “Roman tidal baths in Malta, still at sea level after thousands of years!”",Facebook posts,"July 5, 2024",FALSE,FAKE,0
128,Ciara O'Rourke,“Disney and Google bought the rights to the first King James Bible.”,Facebook posts,"July 5, 2024",FALSE,FAKE,0
129,Jeff Cercone,"""For 18 months under President Trump, not a single American was harmed in Afghanistan.”",Brigitte Gabriel,"July 5, 2024",FALSE,FAKE,0
130,Samantha Putterman,C-sections are coded as abortions in hospitals.,Threads posts,"July 5, 2024",FALSE,FAKE,0
131,Maria Briceño,"""Huracán Beryl pasado por la isla Canarias todo quedo bajo Agua y Horacio por todo la isla afectada "".",Threads posts,"July 3, 2024",FALSE,FAKE,0
132,Ciara O'Rourke,“Riley Gaines won $10 million against Whoopi Goldberg for defaming her reputation.”,Facebook posts,"July 3, 2024",FALSE,FAKE,0
133,Marta Campabadal,"Activistas de Just Stop Oil ""han rociado con pintura naranja el avión de Taylor Swift, en el aeródromo privado de Stansted, en el Reino Unido"".",Facebook posts,"• July 3,",FALSE,FAKE,0
134,Grace Abels,"""Malaysia Airlines Flight MH370 returns after 10-year mystery""",Facebook posts,"July 3, 2024",FALSE,FAKE,0
135,Maria Briceño,"“En la última conferencia médica en Estados Unidos, el Dr. Juan Rivera presentó una nueva terapia que ha sido validada y demostrada efectiva para manejar el tinnitus”.",Facebook posts,"July 3, 2024",pants-fire,REAL,1
136,Jeff Cercone,"""President Zelenskyy’s wife orders 4 million dollar Bugatti” in Paris with U.S. tax money.",Instagram posts,"July 3, 2024",FALSE,FAKE,0
137,Sophie Carson,“Planes full of unvetted ‘refugees’ are being accepted at the Milw. & Madison airports!”,Juneau County Wisconsin Republicans .,"July 3, 2024",pants-fire,REAL,1
138,Ciara O'Rourke,Video shows Dr. Ben Carson promoting an erectile dysfunction treatment.,Viral image,"July 3, 2024",FALSE,FAKE,0
139,Ciara O'Rourke,“WNBA organizers have officially announced an investigation into the referees in all of Caitlin Clark's games for ignoring all dirty actions by her opponents against her.”,Facebook posts,"July 3, 2024",FALSE,FAKE,0
140,Ciara O'Rourke,Michael J. Fox “doesn’t have Parkinson’s disease.”,Viral image,"July 3, 2024",pants-fire,REAL,1
141,Ciara O'Rourke,“Just Stop Oil activists paint Taylor Swift’s private jets.”,Viral image,"July 3, 2024",REAL,REAL,1
142,Ciara O'Rourke,"“R. Kelly has been released from United States of America Federal Prison, Chicago.”",Instagram posts,"July 3, 2024",REAL,REAL,1
143,Maria Ramirez,"Border Patrol agents take migrants ""to the Yuma airport, put them on a plane to any destination they want. ... And they pay their ticket. And then they get reimbursement from FEMA.""",Robert F. Kennedy Jr.,"• July 3,",REAL,REAL,1
144,Maria Briceño,El 30 de junio de 2024 falleció el expresidente de Estados Unidos Barack Obama.,Facebook posts,"July 2, 2024",REAL,REAL,1
145,Mia Penner,"A 2019 clip from the show “Project Runway,” with a face mask and a designer named Kovid, is proof that the COVID-19 pandemic was a hoax.",Instagram posts,"July 2, 2024",REAL,REAL,1
146,Ciara O'Rourke,"Photo shows a missing child in Pike County, Missouri.",Facebook posts,"July 2, 2024",REAL,REAL,1
147,Jeff Cercone,The city of San Francisco posted street signs warning that “stolen goods must remain under $950.”,Instagram posts,"July 2, 2024",REAL,REAL,1
148,Grace Abels,"“Gordon Ramsay kicks Lia Thomas out of his restaurant, 'Dine in some woke place.'""",Facebook posts,"July 2, 2024",REAL,REAL,1
149,Amy Sherman,"“The weapons that Ukraine used in the early days of this war to fend off the Russian invasion are the weapons that Donald Trump sent, that Barack Obama and Joe Biden had refused to send.”",Tom Cotton,"July 2, 2024",REAL,REAL,1
150,Grace Abels,A jury “ordered Disney and Lucasfilm to pay” actor Gina Carano $115 million.,Facebook posts,"July 1, 2024",REAL,REAL,1
151,Sara Swann,"Says as of June 30, “the decision has been made that (President Joe Biden) will quit the campaign.”",Bill O'Reilly,"July 1, 2024",REAL,REAL,1
152,Marta Campabadal,"“Nuevo programa en línea está enviando a estudiantes laptops Apple gratis y subvenciones en efectivo"".",Facebook posts,"• July 1,",REAL,REAL,1
153,Mia Penner,"Chiefs' Coach Andy Reid ""fires 3 top players for anthem kneeling.""",Facebook posts,"July 1, 2024",REAL,REAL,1
154,Jeff Cercone,"""No live audience” at CNN debate means “We are watching a scripted movie.”",Instagram posts,"July 1, 2024",REAL,REAL,1
155,Jeff Cercone,"""There were 42,000 people diagnosed with (an) STD in Houston” in one week.",Instagram posts,"June 28, 2024",REAL,REAL,1
156,Grace Abels,“Actor and comedian Tim Allen died suddenly” in a “fatal car accident.”,Facebook posts,"June 28, 2024",REAL,REAL,1
157,Madison Czopek,The Gates Foundation “awarded $9.5 million to UW-Madison to make H5N1 bird flu transmissible to humans.”,Instagram posts,"June 28, 2024",REAL,REAL,1
158,Vanessa Swales,“Under (the Biden) administration we have witnessed the fastest growth of Black-owned small businesses in more than 30 years.”,David Crowley,"June 28, 2024",REAL,REAL,1
159,Mia Penner,"CNN's David Chalian referred to Michelle Obama as ""Big Mike"" on air during presidential debate coverage.",TikTok posts,"June 28, 2024",REAL,REAL,1
160,Ranjan Jindal,Photo shows a Houston woman baking bread in her mailbox.,Facebook posts,"June 28, 2024",REAL,REAL,1
161,Hope Karnopp,Wisconsin had a “record-breaking year” for tourism in 2023.,Tony Evers,"June 28, 2024",REAL,REAL,1
162,Jeff Cercone,"“CNN will implement a 1-2 minute delay for tonight’s presidential debate instead of the standard 7-second delay, potentially allowing time to edit parts of the broadcast.”",X posts,"June 28, 2024",REAL,REAL,1
163,Jeff Cercone,"""Hospitals murdered patients” with remdesivir, a drug banned from Ebola trials because of “53% kill rate.”",Instagram posts,"June 27, 2024",REAL,REAL,1
164,Madison Czopek,"“Starting from June 2024, the United States will provide a six-month free CDL course.”",Facebook posts,"June 27, 2024",REAL,REAL,1
165,Mia Penner,Former President Donald Trump is “against mail in voting.”,Pennsylvania Values PAC,"June 26, 2024",REAL,REAL,1
166,Grace Abels,CERN scientists admit they “accidentally” ended the world in 2012 while performing experiments into the Higgs boson particle.,Threads posts,"June 26, 2024",REAL,REAL,1
167,Maria Briceño,Foto muestra a un delfín rosado en la costa de Carolina del Norte.,Facebook posts,"June 26, 2024",REAL,REAL,1
168,Ciara O'Rourke,Image shows Disney+ poster for new “Vader” show.,Facebook posts,"June 25, 2024",REAL,REAL,1
169,Ciara O'Rourke,“Brittney Griner asked Angel Reese instead of Caitlin Clark to compete in the 3x3 Olympics.”,Threads posts,"June 25, 2024",REAL,REAL,1
170,Ciara O'Rourke,“Candace Owens vows to have Taylor Swift banned from next NFL season.”,Facebook posts,"June 25, 2024",FALSE,FAKE,0
171,Maria Briceño,"""Ahora mismo al abrir una cuenta bancaria en línea recibirás $1,000 listos para ser retirados, no hay depósito ni tarifas ocultas"".",Facebook posts,"June 25, 2024",FALSE,FAKE,0
172,Ciara O'Rourke,“Lia Thomas ordered to compete with men.”,Facebook posts,"June 25, 2024",FALSE,FAKE,0
173,Ciara O'Rourke,“Lia Thomas announces retirement from competitive swimming.”,Viral image,"June 25, 2024",FALSE,FAKE,0
174,Ciara O'Rourke,"“Lia Thomas declares: ‘In our country, only people like (Harrison) Butker have a place — I’m leaving the USA.”",Viral image,"June 25, 2024",FALSE,FAKE,0
175,Kwasi Gyamfi,"The U.S. House “has authorized a new $1,000 stimulus card program to support those in need.”",Facebook posts,"• June 25,",FALSE,FAKE,0
176,Maria Briceño,"Video muestra a Rita Moreno hablando con Jorge Ramos sobre un ""método natural"" para tratar la diabetes.",Facebook posts,"June 24, 2024",FALSE,FAKE,0
177,Jeff Cercone,“Congresswoman (Anna Paulina) Luna confirms that Biden will be replaced on 2024 ballot.”,Instagram posts,"June 24, 2024",FALSE,FAKE,0
178,Madison Czopek,Video shows a banner with Iran’s supreme leader displayed at the Brooklyn Museum.,Instagram posts,"June 24, 2024",FALSE,FAKE,0
179,Sara Swann,Photo shows a pink dolphin spotted off the North Carolina coast.,Facebook posts,"June 24, 2024",FALSE,FAKE,0
180,Grace Abels,“Caitlin Clark rejects $400 million deal from Nike” saying “not with that Kaepernick clown.’”,Facebook posts,"June 24, 2024",FALSE,FAKE,0
181,Ciara O'Rourke,Video shows “fences have been installed around the Supreme Court” in 2024.,Viral image,"June 24, 2024",FALSE,FAKE,0
182,Loreben Tuquero,All men aged 18 to 26 “have been automatically registered in the U.S. Army.”,Threads posts,"June 24, 2024",FALSE,FAKE,0
183,Ciara O'Rourke,"“Justin Timberlake allegedly had traces of molly, poppers, Truvada, and coke in his bloodstream following his DWI arrest in New York.”",Viral image,"June 21, 2024",FALSE,FAKE,0
184,Grace Abels,“Caitlin Clark has officially joined the Canadian women's Olympic team.”,Threads posts,"June 21, 2024",FALSE,FAKE,0
